SCHOOLID,MATHACH,SES,PICK1,SCHSIZE,SCHNUM,SMEANMATH,SMATHDEV,MEANMATH,SMEANSES,SSESDEV,MEANSES,FIXEDFITS,SMATHDEV2,SSESDEV2,SMEANMATH2,SMEANSES2,_est_fixed,_est_random,UJFE,UJFE_FE,UJRE_MLE,RSHRINK,UJRE_EB2,UJRE_EB,UJRATIO,STDRES_EB,COMP_SE,DIAG_SE,STDRES_RE
1224,5.876,-1.528,1,47,1,9.715446,8.908405,12.74785,-0.434383,-1.093474,0.0001434,7.319144,13.66551,-1.306167,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,-0.2458263
1288,7.857,-0.788,1,25,2,13.5108,7.094052,12.74785,0.1216,-0.9094566,0.0001434,11.51771,13.70953,-0.849916,13.12142,0.0596138,1,1,0.4968151,0.4968151,0.5623704,0.7614713,0.4282289,0.4282292,,0.2256768,1.062019,1.897534,-0.5495868
1296,12.668,-0.148,1,48,3,7.635958,17.77989,12.74785,-0.4255,0.2776434,0.0001434,8.244009,21.51879,0.0692999,10.24485,-0.2082703,1,1,-4.179236,-4.179236,-4.004082,0.8597347,-3.442448,-3.442449,0.8237029,-1.70735,0.8143991,2.016252,0.625577
1308,13.233,0.422,1,20,4,16.2555,9.725351,12.74785,0.528,-0.1058566,0.0001434,16.02324,17.68476,0.1526752,14.46535,0.2586051,1,1,2.351023,2.351023,2.335165,0.7186186,1.678093,1.678094,0.7137719,0.9103415,1.15348,1.843367,-0.3470595
1317,12.862,0.882,1,48,5,13.17769,12.43217,12.74785,0.3453333,0.53681,0.0001434,14.35362,18.88454,0.7059004,12.95832,0.1691635,1,1,-0.3265357,-0.3265357,-0.3058004,0.8597347,-0.2629072,-0.2629071,,-0.130394,0.8143991,2.016252,-0.2698375
1358,-1.347,0.032,1,30,6,11.20623,0.1946192,12.74785,-0.0196667,0.05181,0.0001434,11.31944,5.681681,0.0421804,11.99301,-0.0095565,1,1,-1.498212,-1.498212,-1.404357,0.7929968,-1.113651,-1.113651,0.7433201,-0.5751098,0.9893519,1.936415,-2.130986
1374,16.663,0.322,1,28,7,9.728464,19.68239,12.74785,-0.0126429,0.3347862,0.0001434,10.46172,24.44587,0.3285957,11.26943,-0.0061173,1,1,-2.991371,-2.991371,-2.898924,0.7814423,-2.265342,-2.265343,0.7572924,-1.178481,1.016588,1.922256,0.9039386
1433,12.907,0.812,1,35,8,19.71914,5.935709,12.74785,0.712,0.1001433,0.0001434,19.93826,15.59106,0.4487697,16.1613,0.3486995,1,1,5.41149,5.41149,5.358772,0.8171617,4.378983,4.378985,0.8092014,2.227701,0.9298132,1.965697,-0.997748
1436,24.133,0.222,1,44,9,18.11161,18.76924,12.74785,0.5629091,-0.3407657,0.0001434,17.36462,27.63748,-0.0651408,15.37418,0.2756981,1,1,4.130644,4.130644,4.107793,0.8489099,3.487146,3.487148,0.844214,1.740512,0.8452402,2.003519,1.225482
1461,12.962,0.042,1,33,10,16.84264,8.867216,12.74785,0.6774545,-0.6353112,0.0001434,15.45025,17.11411,-0.3035998,14.75284,0.3317845,1,1,2.610679,2.610679,2.564881,0.808206,2.072952,2.072953,0.7940284,1.06039,0.9523131,1.954896,-0.3071413
1462,1.967,0.162,1,57,11,10.49556,4.219291,12.74785,-0.6694035,0.8315468,0.0001434,12.31731,9.358377,0.5037776,11.64503,-0.3276961,1,1,-0.7851989,-0.7851989,-0.5611836,0.8792066,-0.4933963,-0.4933966,,-0.2419848,0.7557597,2.038957,-1.739406
1477,14.15,-0.178,1,62,12,14.22847,12.66938,12.74785,0.1595806,-0.3374373,0.0001434,13.48877,19.63626,-0.2592996,13.47283,0.0782108,1,1,1.131261,1.131261,1.189207,0.8878556,1.055844,1.055845,0.9333347,0.5153073,0.7282005,2.048961,0.1416908
1499,5.608,-0.678,1,53,13,7.660358,10.69549,12.74785,-0.4659245,-0.2119321,0.0001434,7.195665,14.44634,-0.4400691,10.25679,-0.2280639,1,1,-4.066259,-4.066259,-3.883006,0.8712637,-3.383123,-3.383124,0.831999,-1.666788,0.7802119,2.029726,-0.336071
